domain,method,n_xi,n_eta,converged,iterations,runtime_ms,residual,min_scaled_jacobian,inverted_cells,orthogonality_score,directional_length_difference,orthogonality_error,area_cv,edge_cv,aspect_p95,min_center_jacobian
Квадрат,Метод упругих нитей,21,21,True,1,9.723381000014797,1.3653937842860002e-15,1.0,0,1.0,1.284389261613228e-16,1.284355312573549e-15,1.4633757509792248e-15,1.142749414807213e-15,1.0000000000000033,3.9999999999999827
Квадрат,Винслоу,21,21,True,0,10.590672999995832,1.5543122344752182e-15,1.0,0,1.0,1.2850831510036187e-16,8.426400312392974e-16,1.4737239125727964e-15,1.1636980095528471e-15,1.000000000000003,3.9999999999999805
Квадрат,Адаптивное натяжение (mu=0.1),21,21,True,0,10.542955999994774,5.809155240177333e-15,1.0,0,1.0,1.2850831510036187e-16,8.426400312392974e-16,1.4737239125727964e-15,1.1636980095528471e-15,1.000000000000003,3.9999999999999805
Круг,Метод упругих нитей,21,21,True,1,9.366819999996778,1.2523886564118045e-15,0.07845909572784482,0,0.9182971553836582,0.013121017598509784,0.32258222912547224,0.15431521609805138,0.1002483320268554,2.4577432933692545,0.856080740157157
Круг,Винслоу,21,21,True,75,37.279745000006415,1.2122997392271203e-06,0.07845909572784482,0,0.9367525009299794,0.019104614333074362,0.27989384087623526,0.1292695194920255,0.1485735770929104,2.046504002095337,1.5915780885008646
Круг,Адаптивное натяжение (mu=0.1),21,21,True,91,52.14475100001437,1.926525334600378e-05,0.07845909572784482,0,0.9082810327767157,0.01853594158583841,0.3148406577794019,0.06503341286453723,0.11823518794817603,2.0006101993484315,1.7948109117553037
Полукольцо,Метод упругих нитей,21,21,True,44,377.6834459999918,8.439445415970004e-16,0.956873280289437,0,0.9922484579484568,0.07972061884606603,0.06213784792801505,0.4107304904209282,0.21301989669669813,4.425251694693631,0.5385824461993771
Полукольцо,Винслоу,21,21,True,255,114.38223799999037,1.8407220604570662e-06,0.9551965110817644,0,0.9922184574078591,0.07959985171773518,0.06320748205933228,0.4153775416318847,0.21620437498701015,4.489705134111016,0.5275406693975253
Полукольцо,Адаптивное натяжение (mu=0.1),21,21,True,2582,1022.0389699999828,1.998884986280613e-05,0.02898891639549208,0,0.9046483509042251,0.07558006897303135,0.2854658682648978,0.5988504389824797,0.35828065873503595,62.747076553771066,0.032759775705822
